trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
251,False,"{'a': 0.1, 'e': 0.10550059172922158}",20,2,8.019260008401668,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
252,False,"{'a': 0.1, 'e': 0.10364130418134233}",20,12,11.530909791133519,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.1, 'e': 0.1018076567151545}",25,14,-1.6153960887508898,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
254,False,"{'a': 0.1, 'e': 0.09999945013977247}",25,11,25.140328671881363,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.1, 'e': 0.0982164835001692}",30,8,37.46054502940993,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.1, 'e': 0.0964585541642737}",25,11,17.30051962755353,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.1, 'e': 0.09472545790910028}",20,8,20.00389509691647,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.1, 'e': 0.09301698900589114}",20,2,-10.067881930548637,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
259,False,"{'a': 0.1, 'e': 0.09133294030425435}",35,18,13.343502767690763,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
260,False,"{'a': 0.1, 'e': 0.08967310331528025}",30,15,-14.124247981136254,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
261,False,"{'a': 0.1, 'e': 0.08803726829362037}",20,8,20.510193244656296,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.1, 'e': 0.08642522431851304}",25,15,-22.208369867900586,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
263,False,"{'a': 0.1, 'e': 0.08483675937374162}",25,12,24.266333330448617,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
